Step,Overall_Compliance,Incentive_Budget_Remaining,Enforcement_Budget_Set,Education_Budget_Set,P_Catch_Set,Edu_Boost_Set,Poblacion Bacolod_Compliance,Liangan East_Compliance,Esperanza_Compliance,Binuni_Compliance,Demologan_Compliance,Mati_Compliance,Babalaya_Compliance
143,0.144,0.0,0,0,0.0,0.0,0.1175115207373272,0.1958041958041958,0.2222222222222222,0.16535433070866143,0.0975609756097561,0.0,0.0
144,0.163,0.0,0,0,0.0,0.0,0.16129032258064516,0.2097902097902098,0.2111111111111111,0.18110236220472442,0.024390243902439025,0.02631578947368421,0.0
145,0.14,0.0,0,0,0.0,0.0,0.12442396313364056,0.18181818181818182,0.2222222222222222,0.11023622047244094,0.12195121951219512,0.02631578947368421,0.0
146,0.145,0.0,0,0,0.0,0.0,0.14055299539170507,0.13986013986013987,0.2222222222222222,0.14960629921259844,0.12195121951219512,0.0,0.0
147,0.128,0.0,0,0,0.0,0.0,0.10829493087557604,0.16783216783216784,0.18888888888888888,0.13385826771653545,0.12195121951219512,0.0,0.02702702702702703
148,0.153,0.0,0,0,0.0,0.0,0.1313364055299539,0.1958041958041958,0.21666666666666667,0.1968503937007874,0.0975609756097561,0.0,0.0
149,0.144,0.0,0,0,0.0,0.0,0.14285714285714285,0.18181818181818182,0.17777777777777778,0.15748031496062992,0.0975609756097561,0.0,0.0
150,0.142,0.0,0,0,0.0,0.0,0.1359447004608295,0.16783216783216784,0.2111111111111111,0.14173228346456693,0.07317073170731707,0.0,0.0
151,0.143,0.0,0,0,0.0,0.0,0.12903225806451613,0.1958041958041958,0.2111111111111111,0.12598425196850394,0.07317073170731707,0.02631578947368421,0.02702702702702703
152,0.14,0.0,0,0,0.0,0.0,0.1497695852534562,0.13286713286713286,0.19444444444444445,0.13385826771653545,0.0975609756097561,0.0,0.0
153,0.162,0.0,0,0,0.0,0.0,0.15668202764976957,0.21678321678321677,0.22777777777777777,0.13385826771653545,0.12195121951219512,0.0,0.0
154,0.136,0.0,0,0,0.0,0.0,0.12672811059907835,0.17482517482517482,0.2,0.12598425196850394,0.07317073170731707,0.02631578947368421,0.0
155,0.141,0.0,0,0,0.0,0.0,0.1152073732718894,0.16083916083916083,0.20555555555555555,0.2047244094488189,0.12195121951219512,0.0,0.0
156,0.149,0.0,0,0,0.0,0.0,0.1382488479262673,0.22377622377622378,0.14444444444444443,0.18110236220472442,0.17073170731707318,0.02631578947368421,0.0
157,0.153,0.0,0,0,0.0,0.0,0.12442396313364056,0.21678321678321677,0.23333333333333334,0.16535433070866143,0.07317073170731707,0.0,0.05405405405405406
158,0.145,0.0,0,0,0.0,0.0,0.12442396313364056,0.20279720279720279,0.2111111111111111,0.15748031496062992,0.07317073170731707,0.02631578947368421,0.0
159,0.171,0.0,0,0,0.0,0.0,0.14055299539170507,0.22377622377622378,0.26666666666666666,0.18110236220472442,0.14634146341463414,0.0,0.02702702702702703
160,0.156,0.0,0,0,0.0,0.0,0.14285714285714285,0.1888111888111888,0.20555555555555555,0.1732283464566929,0.17073170731707318,0.0,0.02702702702702703
161,0.156,0.0,0,0,0.0,0.0,0.1359447004608295,0.18181818181818182,0.22777777777777777,0.1889763779527559,0.0975609756097561,0.0,0.05405405405405406
162,0.15,0.0,0,0,0.0,0.0,0.1382488479262673,0.18181818181818182,0.2222222222222222,0.16535433070866143,0.07317073170731707,0.0,0.0
163,0.13,0.0,0,0,0.0,0.0,0.1336405529953917,0.16783216783216784,0.19444444444444445,0.09448818897637795,0.024390243902439025,0.0,0.0
164,0.172,0.0,0,0,0.0,0.0,0.1359447004608295,0.26573426573426573,0.2611111111111111,0.1889763779527559,0.0975609756097561,0.0,0.0
165,0.145,0.0,0,0,0.0,0.0,0.12903225806451613,0.1958041958041958,0.20555555555555555,0.15748031496062992,0.0975609756097561,0.0,0.0
166,0.166,0.0,0,0,0.0,0.0,0.15668202764976957,0.1958041958041958,0.22777777777777777,0.1889763779527559,0.07317073170731707,0.02631578947368421,0.02702702702702703
167,0.159,0.0,0,0,0.0,0.0,0.15207373271889402,0.20279720279720279,0.20555555555555555,0.1889763779527559,0.07317073170731707,0.0,0.0
168,0.157,0.0,0,0,0.0,0.0,0.12672811059907835,0.25874125874125875,0.2222222222222222,0.14960629921259844,0.14634146341463414,0.0,0.0
169,0.167,0.0,0,0,0.0,0.0,0.15898617511520738,0.24475524475524477,0.2,0.14960629921259844,0.14634146341463414,0.02631578947368421,0.02702702702702703
170,0.152,0.0,0,0,0.0,0.0,0.12442396313364056,0.2097902097902098,0.19444444444444445,0.1732283464566929,0.1951219512195122,0.0,0.08108108108108109
171,0.15,0.0,0,0,0.0,0.0,0.1175115207373272,0.18181818181818182,0.22777777777777777,0.2125984251968504,0.0975609756097561,0.02631578947368421,0.0
172,0.134,0.0,0,0,0.0,0.0,0.10829493087557604,0.1958041958041958,0.18333333333333332,0.16535433070866143,0.0975609756097561,0.02631578947368421,0.0
